,id,date,status,no2
185,9629,2020-10-04 20:30:00+00:00,FINAL,17.595
186,9629,2020-10-04 21:00:00+00:00,FINAL,
187,9629,2020-10-04 21:30:00+00:00,FINAL,10.71
188,9629,2020-10-04 22:00:00+00:00,FINAL,
189,9629,2020-10-04 22:30:00+00:00,FINAL,16.256
190,9629,2020-10-04 23:00:00+00:00,FINAL,
191,9629,2020-10-04 23:30:00+00:00,FINAL,12.431
192,9629,2020-10-05 00:00:00+00:00,FINAL,
193,9629,2020-10-05 00:30:00+00:00,FINAL,12.049
194,9629,2020-10-05 01:00:00+00:00,FINAL,
195,9629,2020-10-05 01:30:00+00:00,FINAL,11.284
196,9629,2020-10-05 02:00:00+00:00,FINAL,
197,9629,2020-10-05 02:30:00+00:00,FINAL,13.387
198,9629,2020-10-05 03:00:00+00:00,FINAL,
199,9629,2020-10-05 03:30:00+00:00,FINAL,17.786
200,9629,2020-10-05 04:00:00+00:00,FINAL,
201,9629,2020-10-05 04:30:00+00:00,FINAL,27.731
202,9629,2020-10-05 05:00:00+00:00,FINAL,
203,9629,2020-10-05 05:30:00+00:00,FINAL,36.911
204,9629,2020-10-05 06:00:00+00:00,FINAL,
205,9629,2020-10-05 06:30:00+00:00,FINAL,32.895
206,9629,2020-10-05 07:00:00+00:00,FINAL,
207,9629,2020-10-05 07:30:00+00:00,FINAL,30.791
208,9629,2020-10-05 08:00:00+00:00,FINAL,
209,9629,2020-10-05 08:30:00+00:00,FINAL,34.042
210,9629,2020-10-05 09:00:00+00:00,FINAL,
211,9629,2020-10-05 09:30:00+00:00,FINAL,31.174
212,9629,2020-10-05 10:00:00+00:00,FINAL,
213,9629,2020-10-05 10:30:00+00:00,FINAL,31.556
214,9629,2020-10-05 11:00:00+00:00,FINAL,
215,9629,2020-10-05 11:30:00+00:00,FINAL,
216,9629,2020-10-05 12:00:00+00:00,FINAL,
217,9629,2020-10-05 12:30:00+00:00,FINAL,
218,9629,2020-10-05 13:00:00+00:00,FINAL,
219,9629,2020-10-05 13:30:00+00:00,FINAL,
220,9629,2020-10-05 14:00:00+00:00,FINAL,
221,9629,2020-10-05 14:30:00+00:00,FINAL,
